014,118,2/21/2016,3/1/2016
018,160,2/21/2016,3/1/2016
010,230,2/17/2016,3/1/2016
007,166,2/15/2016,2/29/2016
016,091,2/12/2016,2/26/2016
006,069,2/17/2016,2/23/2016
002,013,2/11/2016,2/22/2016
020,222,2/5/2016,2/22/2016
014,027,2/8/2016,2/17/2016
018,189,2/5/2016,2/16/2016
010,090,2/2/2016,2/15/2016
006,103,2/2/2016,2/15/2016
007,240,1/30/2016,2/12/2016
016,121,1/15/2016,2/9/2016
008,191,2/11/2016,2/6/2016
003,031,1/16/2016,2/4/2016
005,016,1/15/2016,2/2/2016
014,165,1/21/2016,2/2/2016
018,186,1/18/2016,2/2/2016
008,148,1/19/2016,2/1/2016
006,237,1/21/2016,1/30/2016
020,168,1/2/2016,1/27/2016
007,084,1/20/2016,1/26/2016
001,179,1/5/2016,1/22/2016
014,022,1/13/2016,1/20/2016
006,081,1/10/2016,1/18/2016
007,056,1/3/2016,1/17/2016
003,043,12/29/2015,1/14/2016
008,172,1/5/2016,1/14/2016
005,182,12/28/2015,1/13/2016
018,002,1/5/2016,1/12/2016
014,113,12/16/2015,1/11/2016
016,177,12/12/2015,1/10/2016
006,205,1/1/2016,1/7/2016
018,209,12/27/2015,1/3/2016
020,149,12/24/2015,12/30/2015
001,021,12/12/2015,12/29/2015
017,096,12/20/2015,12/25/2015
020,046,12/9/2015,12/21/2015
005,181,12/1/2015,12/21/2015
011,136,11/25/2015,12/12/2015
014,212,12/1/2015,12/12/2015
020,061,11/30/2015,12/1/2015
005,236,11/17/2015,11/30/2015
020,077,11/24/2015,11/28/2015
011,003,11/12/2015,11/22/2015
020,209,11/11/2015,11/21/2015
005,054,10/15/2015,11/12/2015
011,155,11/1/2015,11/11/2015
020,196,10/30/2015,11/7/2015
011,012,10/15/2015,10/31/2015
001,066,10/15/2015,10/30/2015
020,108,10/10/2015,10/21/2015
011,073,10/2/2015,10/12/2015
005,081,9/23/2015,10/2/2015
011,194,9/19/2015,9/29/2015
011,218,9/3/2015,9/16/2015
011,096,8/18/2015,8/27/2015
001,080,8/1/2015,8/16/2015
011,140,8/3/2015,8/15/2015
011,129,7/21/2015,8/1/2015
011,229,7/8/2015,7/19/2015
011,064,6/30/2015,7/7/2015
015,120,5/1/2015,5/22/2015
001,038,5/5/2015,5/15/2015
015,035,4/15/2015,4/30/2015
001,235,3/15/2015,4/22/2015
015,019,4/2/2015,4/10/2015
015,124,3/16/2015,3/29/2015
015,010,2/28/2015,3/4/2015
001,206,2/7/2015,2/28/2015
015,043,2/14/2015,2/21/2015
015,146,2/2/2015,2/9/2015
015,239,1/22/2015,1/31/2015
001,003,1/4/2015,1/30/2015
015,009,1/11/2015,1/14/2015
015,086,12/22/2014,1/4/2015
015,114,12/12/2014,12/21/2014
015,006,12/1/2014,12/8/2014
008,025,12/1/2016,12/4/2016
020,039,12/2/2016,12/6/2016
012,135,11/20/2016,11/30/2016
003,145,11/22/2016,11/30/2016
002,197,11/11/2016,11/27/2016
